title,type,release_date,overview
Harry Potter: A History Of Magic,movie,2017-10-28,"A thrilling journey through legends, belief and folklore, this film goes behind the scenes with the British Library as they search to tell that story through objects in their collection, in an ambitious new exhibition: Harry Potter: A History Of Magic.  J.K. Rowling, who is lending unseen manuscripts, drawings and drafts from her private archives (which will sit alongside treasures from the British Library, as well as original drafts and drawings from Jim Kay) talks about some of the personal items she has lent to the exhibition and gives new insight into her writing, looking at some of the objects from the exhibition that have fired her imagination."
The Magic Touch of Harry Potter,movie,2004-06-11,A 2004 documentary on the first three “Harry Potter” films detailing the behind-the-scenes journey of making them.
Daniel Radcliffe: Being Harry Potter,movie,2012-10-10,Made-for-television documentary about Daniel Radcliffe and his role as Harry Potter.
Phantastische Harry Potter Momente - Das große SAT.1 Spezial,movie,2021-10-31,
Harry Potter : les secrets du phénomène,movie,2023-04-26,"Immerse yourself in the magic of Harry Potter by uncovering the secrets behind the global bestseller. Over 20 years later, the wizards of Hogwarts remain immensely popular among audiences, transcending generations. To grasp the reasons behind such success, this documentary will introduce you to the most extravagant fans who perpetuate the phenomenon."
Discovering the Real World of Harry Potter,movie,2001-12-10,"Explore the myths and legends that inhabit the real world of Harry Potter. Follow award-winning documentary filmmakers as they offer insights to witches, wizards, Greek gods, ancient Celts, ghosts, magical creatures, alchemy, and ancient spells. Narrated by British actor Hugh Laurie, this fascinating documentary brings new dimensions to the historical and scientific world behind the Harry Potter series."
Harry Potter: A Spirit Conspiracy?,movie,2005-09-22,The Occult Agenda documentary series is designed to awaken the church and non-believers alike to the spiritual warfare happening in the world today. Part I focuses on the Harry Potter phenomenon that has swept the world since author J.K. Rowling introduced her best-selling book series. But is Potter-mania merely the result of imaginative writing and clever marketing? Or could there be a hidden power behind the craze that has cast a spell on adults and children alike?
J.K. Rowling and the Birth of Harry Potter,movie,2004-12-07,"In this fascinating (unauthorized) biographical documentary, you'll get the inside scoop on the creative force behind one of the greatest publishing phenomena in the last 100 years -- J.K. Rowling, author of the Harry Potter series of books. Explore Rowling's meteoric rise from obscurity into the ranks of the world's richest women (via her books), and visit the people and places that played a significant role in her life."
Harry Potter: The Making of Diagon Alley,movie,2014-06-30,An inside look into the creation of Universal Studio's Diagon Alley attraction.
Schottland - Auf den Spuren von Harry Potter,movie,,
The Magical World of Harry Potter: The Unauthorized Story of J.K. Rowling,movie,2000-08-08,The unauthorized story of J.K. Rowling--creator of Harry Potter.
Creating the World of Harry Potter: The Magic Begins,movie,,Explore the World of Harry Potter through the behind the scenes creation of the films.
Harry Potter and the Deathly Hallows Extended Edition,movie,,
A Very Potter Musical,movie,2009-04-09,"In April 2009, a group of University of Michigan students (Team StarKid) performed what was renamed ""A Very Potter Musical"", a two act musical parody that featured major elements from all seven Harry Potter books and an original score."
J.K. Rowling: A Year in the Life,movie,2007-12-30,A look into the life of J.K. Rowling in the year leading to her finishing her final harry potter book.
John Williams & Berliner Philharmonic - The Berlin Concert,movie,2022-02-04,"John Williams has made cinematic history with his film scores and transported entire generations into his musical worlds. He has composed the soundtracks for cinema blockbusters such as ""Star Wars"", ""Jurassic Park"", ""E.T."" and ""Harry Potter"". In this concert, he conducts some of his most famous film classics. At the same time, this is his debut on the podium of the Berliner Philharmoniker. May the Force be with him ..."
