<<<<<<< HEAD

=======
title,type,release_date,overview
Star Wars Rebels,tv,2014-10-13,"Set between the events of Star Wars: Episodes III and IV, the story unfolds during a dark time when the evil Galactic Empire is tightening its grip of power on the galaxy. Imperial forces have occupied a remote planet and are ruining the lives of its people. The motley but clever crew of the starship Ghost — cowboy Jedi Kanan, ace pilot Hera, street-smart teenager Ezra, the “muscle” Zeb, warrior firebrand Sabine, and cantankerous old astromech droid Chopper — is among a select few who are brave enough to stand against the Empire. Together, they will face threatening new villains, encounter colorful adversaries, embark on thrilling adventures, and become heroes with the power to ignite a rebellion."
Star Wars: The Rise of Skywalker,movie,2019-12-18,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins."
LEGO Star Wars: Rebuild the Galaxy,tv,2024-09-13,"The entire Star Wars galaxy gets completely mixed up when an ordinary nerf-herder, Sig Greebling, unearths a powerful artifact from a hidden Jedi temple. He finds himself thrust into adventure in a new, wondrously wild and twisted version of the galaxy where good guys are bad, bad guys are good, and the fate of all depends on Sig becoming the hero who can put all the pieces back together."
Star Wars: Tales of the Jedi,tv,2022-10-26,Journey into the lives of two distinctly different Jedi from the prequel era – Ahsoka Tano and Count Dooku. Each will be put to the test as they make choices that will define their destinies.
Solo: A Star Wars Story,movie,2018-05-15,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian."
LEGO Star Wars: The Freemaker Adventures,tv,2016-06-20,"Set between The Empire Strikes Back and Return of the Jedi, The Freemaker Adventures centers on a family of three young siblings—young boy Rowan, his sister Kordi, and their brother Zander—known as the Freemakers, who salvage parts from destroyed or damaged ships which they use to build new ones, which they sell in order to make their living. They are accompanied by their salvaged battle droid Roger."
Star Wars: Clone Wars,tv,2003-11-07,"During the Clone Wars, Jedi Master Obi-Wan Kenobi leads an assault on the planet Muunilinst, home of the Intergalactic Banking Clan; and his Padawan, Anakin Skywalker, is appointed by Supreme Chancellor Palpatine to lead the Republic’s space forces. Meanwhile, Separatist leader and Sith Lord Count Dooku takes in Force-sensitive gladiator Asajj Ventress as his Sith apprentice, and tasks her with eliminating Skywalker."
Star Wars: Episode III - Revenge of the Sith,movie,2005-05-17,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.
Lego Star Wars: The Yoda Chronicles,tv,2013-05-29,"Yoda begins by training Padawans at the Jedi Temple Academy, but then he feels a disturbance in the Force and rushes off to fight the Dark Side."
LEGO Star Wars Terrifying Tales,movie,2021-10-01,"Poe Dameron and BB-8 must face the greedy crime boss Graballa the Hutt, who has purchased Darth Vader’s castle and is renovating it into the galaxy’s first all-inclusive Sith-inspired luxury hotel."
Star Wars: Episode I - The Phantom Menace,movie,1999-05-19,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi."
Doraemon the Movie: Nobita's Little Star Wars 2021,movie,2022-03-04,"One day during summer vacation, a palm-sized alien named Papi appears from a small rocket that Nobita picks up. He is the president of Pirika, a small planet in outer space, and has come to Earth to escape the rebels. Doraemon and his friends are puzzled by Papi’s small size, but as they play together using the secret tool “Small Light”, they gradually become friends. However, a whale-shaped space battleship comes to earth and attacks Doraemon, Nobita and the others in order to capture Papi. Feeling responsible for getting everyone involved, Papi tries to stand up to the rebels. Doraemon and his friends leave for the planet Pirika to protect their dear friend and his home."
Star Wars: Tales of the Empire,tv,2024-05-04,A journey into the fearsome Galactic Empire through the eyes of two warriors on divergent paths.
Star Wars: Forces of Destiny,tv,2017-07-03,"An animated micro-series starring Rey, Jyn Erso, Princess Leia, Ahsoka Tano, and more. Small moments and everyday decisions shape a larger heroic saga."
Disney Gallery / Star Wars: The Mandalorian,tv,2020-05-04,"Executive producer Jon Favreau invites the cast and crew of The Mandalorian to share an unprecedented look at the making of the series. Each chapter explores a different facet of the first live-action Star Wars television show through interviews, never-before-seen footage, and roundtable conversations hosted by Favreau himself."
Star Wars: Episode II - Attack of the Clones,movie,2002-05-15,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever."
Phineas and Ferb: Star Wars,movie,2014-07-26,Phineas and Ferb become the galaxy's unlikeliest last hope when they must return the Death Star plans to the Rebel Alliance.
Star Wars: The Clone Wars,movie,2008-08-05,"As the Clone Wars sweep through the galaxy, the heroic Jedi Knights struggle to maintain order and restore peace. More and more systems are falling prey to the forces of the dark side as the Galactic Republic slips further and further under the sway of the Separatists and their never-ending droid army. Anakin Skywalker and his Padawan learner Ahsoka Tano find themselves on a mission with far-reaching consequences, one that brings them face-to-face with crime lord Jabba the Hutt. But Count Dooku and his sinister agents, including the nefarious Asajj Ventress, will stop at nothing to ensure that Anakin and Ahsoka fail at their quest. Meanwhile, on the front lines of the Clone Wars, Obi-Wan Kenobi and Master Yoda lead the massive clone army in a valiant effort to resist the forces of the dark side..."
Star Wars: Heroes & Villains,movie,2005-05-03,"A look at the creation and filming of the various heroes and villains from all six Star Wars movies, leading up to the release of Star Wars: Episode III - Revenge of the Sith."
Creatures from Star Wars,movie,2006-12-12,
Star Wars Galaxy of Sounds,tv,2021-09-29,"The series explores the ambience of a galaxy far, far away through themes such as wonder, excitement, oddities, and more. Be immersed in the hum of Coruscant at golden hour, listen to the light side of the Force as Rey connects to past Jedi, and observe booming lightsaber duels. Experience the nostalgic sounds of Star Wars from across the franchise."
Robot Chicken: Star Wars,movie,2007-07-17,"A series of 30 sketches, following the hilarious antics of various characters from a galaxy, far, far away."
Star Wars Kid: The Rise of the Digital Shadows,movie,2022-03-30,"Ghyslain Raza, better known as the “Star Wars Kid,” breaks his silence to reflect on our hunger for content and the right to be forgotten in the digital age."
Doraemon: Nobita's Little Star Wars,movie,1985-03-16,"Nobita helps Doraemon to create a space movie. After Dekisugi fails to help them, the duo rope in Shizuka, who prefers to make a film about dolls."
The Star Wars Holiday Special,movie,1978-11-17,"Luke Skywalker and Han Solo battle evil Imperial forces to help Chewbacca reach his imperiled family on the Wookiee planet - in time for Life Day, their most important day of the year!"
Star Wars: Droids,tv,1985-09-07,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.
LEGO Star Wars : The Resistance Rises,tv,2016-02-15,"A series of animated shorts that take place prior to the First Order's attack on Jakku and tell never-before-told stories including Kylo Ren, Han Solo, Finn, Rey, BB-8, Maz Kanata and more."
Star Wars: Skeleton Crew,tv,2024-12-03,Four ordinary kids search for their home planet after getting lost in the Star Wars galaxy.
Star Wars Detours,tv,,Star Wars Detours is an unaired American CGI-animated comedy series. It is differentiated from the other Star Wars animated series in that it is a parody of the franchise. It offers a comedic take on what happened between the prequel trilogy (Episodes I–III) and the original trilogy (Episodes IV–VI).
Star Wars: Go Rogue,tv,2016-08-30,"A stop motion animated Star Wars series, created by fans and Lucasfilm, to introduce the new Rogue One action figures from Tongal. The shorts follow the Rogue One character’s adventures throughout the galaxy as they battle the Empire."
LEGO Star Wars Summer Vacation,movie,2022-08-05,"Looking for a much-needed break, Finn arranges a surprise vacation for his friends Rey, Poe, Rose, Chewie, BB-8, R2-D2, and C-3PO, aboard the luxurious Halcyon. However, Finn's plan to have one last hurrah together quickly goes awry."
Star Wars Galactic Pals,tv,2022-04-12,"Miree will look after a variety of galactic younglings: Ewoks, Wookiees, Ortolans, Huttlets, Jawas, Rodians, Gamorreans, Gungans, as well as tauntauns, rancors, porgs, and Loth-cats."
Star Wars Rebels: The Siege of Lothal,movie,2015-04-18,The Ghost crew and their allies face Darth Vader for the first time and Ahsoka Tano discovers the true identity of Darth Vader.
LEGO Star Wars Holiday Special,movie,2020-11-17,"As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?"
Star Wars Biomes,movie,2021-05-04,"Take a virtual vacation to some of the Star Wars films’ most iconic and beloved locations like Hoth, Tatooine, and Sorgan, as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away."
LEGO Star Wars: The Empire Strikes Out,movie,2012-09-24,"Luke Skywalker embarks on a mission to destroy an Imperial base, but is relentlessly chased by a group of fanatic girls who think of him as a celebrity. Meanwhile, Darth Vader engages a rivalry with Darth Maul, in order to prove that he's the best Sith Lord."
LEGO Star Wars: Droid Tales,tv,2015-10-05,"Following their victory celebration in the Ewok village on Endor, seen at the close of Star Wars: Return of the Jedi, C-3PO and R2-D2 have gathered to regale Luke, Leia, Han, Chewbacca and the other Rebels with the tales of their adventures that led to the events of Star Wars: The Phantom Menace. An accidental kidnapping occurs while the droids are reminiscing and suddenly viewers are taken on a new adventure that leads to encounters with familiar faces and places that prompt the re-telling of the entire saga. The series offers all of the playful humor that viewers expect from LEGO Star Wars."
Icons Unearthed: Star Wars,tv,2022-07-12,"Marcia Lucas, Oscar-winning film editor and ex-wife of George Lucas, sits down for her first-ever on-camera interview and provides unique insight into the rise of LucasFilm — including her 14-year marriage to and eventual divorce from George Lucas — the editing of the original Star Wars trilogy, the origin of the idea that Darth Vader would be Luke’s father and if there were really originally plans for nine movies."
Star Wars: Evolution of the Lightsaber Duel,movie,2015-12-15,"Though lightsabers have been a force in the Star Wars galaxy since George Lucas’ original film, the weapon’s on-screen presence evolved throughout both cinematic trilogies and into Star Wars: The Force Awakens. SportsCenter is tracing the lightsaber’s lineage through the films, and a new trailer for the special will definitely delight any fan’s inner Star Wars Kid."
Empire of Dreams: The Story of the Star Wars Trilogy,movie,2004-09-12,"From the earliest versions of the script to the blockbuster debuts, explore the creation of the Star Wars Trilogy."
LEGO Star Wars: The Padawan Menace,movie,2011-07-22,"Master Yoda must go retrieve secret battle plans. However, things become a little more complicated when a class of younglings join the mission."
Robot Chicken: Star Wars Episode III,movie,2010-12-19,"Robot Chicken: Star Wars Episode III, directed by Chris McKay, combines the satirical sensibilities of Green and Matthew Senreich's Robot Chicken with characters of the Star Wars universe."
Star Wars Rebels: Spark of Rebellion,movie,2014-10-03,Ezra Bridger encounters the Ghost crew and joins them on a mission to free Wookiees from an Imperial Star Destroyer.
Battle Star Wars,movie,2020-01-28,"When the leader of the evil Coalition threatens to destroy a Rebel planet for its resources, his daughter will have no choice but to join the Rebel side and fight for what is right."
Robot Chicken: Star Wars Episode II,movie,2008-11-16,"Seth Green and Matthew Senreich serve up more hilarious Star Wars-inspired satire in this second compilation of sketches featuring the zany stop-motion animation of Adult Swim's ""Robot Chicken."" Gary the stormtrooper deals with irascible boss Darth Vader on Take Your Daughter to Work Day, while Anakin babysits a certain up-and-coming Jedi."
Star Wars: The Clone Wars - Darth Maul Returns,movie,2012-09-11,"After Dathomir falls prey to a merciless attack by General Grievous, Asajj Ventress survives to join a bounty hunter clan led by a young Boba Fett. Meanwhile, the dark warrior Savage Opress returns to his creator, the witch Mother Talzin, who gives him a sinister mission: to search the galaxy for his brother, Sith Apprentice Darth Maul. Believed dead for over a decade after falling to the sword of then Jedi Apprentice Obi-Wan Kenobi, Darth Maul is nearly unrecognizable, residing in the bowels of a ruined planet and fueled by hatred. Savage Opress delivers the shattered Maul to Mother Talzin to restore his former powers, and the brothers vow an oath of vengeance against Obi-Wan Kenobi."
The Making of Star Wars,movie,1977-09-16,"Learn the incredible behind-the-scenes story of how the original Star Wars  movie was brought to the big screen in this fascinating documentary hosted by C-3PO and R2-D2 which includes interviews with George Lucas and appearances by Mark Hamill, Harrison Ford and Carrie Fisher."
The Naboo Movie: A Live Staged Reading of Star Wars: The Phantom Menace,movie,2024-05-19,"25 years ago visionary filmmaker George Lucas showed us an astonishing world of podracing, Midichlorians and battle droids, and now weesa gonna celebrate!  On May 19, 2024, at Dynasty Typewriter, the guys behind Star Wars Minute and The George Lucas Talk Show proudly presented a LIVE reading of the original Phantom Menace screenplay, with a wizard cast including some of the galaxy’s hottest stars (…and maybe some surprises?!)  Can two Jedi Knights resolve a trade dispute, rescue the queen, test a child for MIDICHLORIANS, and succeed at sports betting before the deadly BATTLE DROIDS attack?  Yippee!!"
Disney Gallery / Star Wars: The Book of Boba Fett,tv,2022-05-04,"Explore the behind-the-scenes story of the legendary bounty hunter’s return to the sands of Tatooine with mercenary Fennec Shand, who together seek to claim the territory and crime syndicate once run by the late Jabba the Hutt. In this insightful new special, filmmakers, cast and crew reveal never-before-seen footage, groundbreaking technology and the practical effects that brought it all to life."
A Disturbance in the Force: How the Star Wars Holiday Special Happened,movie,2023-03-11,"In 1978, CBS aired the “Star Wars Holiday Special” the week before Thanksgiving to an audience of 13 million people. Considered one of the worst shows in television history, it aired only once. George Lucas tried to bury it and an infamous camp legend was born. This documentary unravels the mysteries behind the most bizarre Star Wars spin-offs of all time."
Star Wars Episode I: Betrayal Of The Force,movie,2024-10-31,"PEACE!  The  Jedi  Order  continues  to  protect  EARTH  from  anything  threatening.  There are  heroes  on  both  sides.  Evil  is  everywhere. Newly  appointed  grand  master, Stellan  Gios,  leads  the  order through  an  age  of  light  and  hope,  dared  to  be  challenged.As  the  young  master  trys  to  meditate,  his  thoughts  are clouded  with  darkness,  as  two hooded  figures  attempts  to  sneak  up  on  the  grand  master...."
The Stories: The Making of 'Rogue One: A Star Wars Story',movie,2017-04-04,The Making of 'Rogue One: A Star Wars Story'.
The Story of Star Wars,movie,2004-08-18,"The Skywalker family is at the heart of the Star Wars saga. Now hear the inside story of Luke and Anakin Skywalker from the characters who witnessed it all: the famous droid duo C-3PO and R2-D2. Episodes IV,V and VI are explored in ""The Story of Luke Skywalker,"" which follows the young man escaping from his daily chores on Tatooine to his becoming a hero in the Rebal Alliance. In ""The Story of Anakin Skywalker,"" you'll go behind the mask of the greatest Star Wars villain and discover how Darth Vader started life as a young Podracing Champ on Tatooine and later became a headstrong young Jedi seduced by the Dark Side of the Force. With clips from the Star Wars films, C-3PO and R2-D2 take you on an hour-long journey through the saga and prepare you for the explosive final chapter: Star Wars: Episode III Revenge of the Sith."
Star Wars In Under Five Minutes,tv,2019-07-17,"A series of shorts introducing the characters and condensing the epic stories of a galaxy far, far away!"
From Star Wars to Star Wars: The Story of Industrial Light & Magic,movie,1999-06-15,"The incredible evolution of George Lucas' special effects dream factory, including an inside look at ""Star Wars: Episode One - The Phantom Menace."""
Star Wars: Droids - The Great Heep,movie,1986-06-07,"C-3PO and R2-D2 are on their way to Biitu to meet their new master, Mungo Baobab, when their ship is attacked and they are taken prisoner. Biitu has been taken over by the giant mechanical Great Heep who works with the Empire, enslaving the natives by using droid enforcers and draining R2 units to keep up his strength. Meanwhile Mungo has been imprisoned to be handed over to his arch enemy Admiral Screed."
Star Wars Blips,tv,2017-05-03,"What does a curious little droid do when he's not hurtling through space on a daring mission to save the galaxy? Star Wars Blips stars BB-8 in his very own series of animated shorts, featuring heroes of the Star Wars universe like Chewbacca, C-3PO and of course, R2-D2."
Star Wars Galaxy of Adventures,tv,2018-11-30,"A series of animated shorts celebrating the characters and stories of a galaxy far, far away, featuring a bright and colorful art style, exciting action, and insight into the saga's greatest themes!"
Star Wars: Galaxy of Creatures,tv,2021-10-14,"Join adventurous droid SF-R3, “Aree,” a member of the Galactic Society of Creature Enthusiasts, as he journeys across the galaxy to learn everything there is to know about wildlife."
Star Wars: Greatest Moments,movie,2015-12-26,Alex Zane counts down the top 20 Star Wars moments as voted by the public. Includes contributions from famous fans as well as the stars and crew of the intergalactic saga.
Star Wars : L'incroyable Légende,movie,2015-11-25,
Star Wars vs. Star Trek: The Rivalry Continues,movie,2002-01-01,"For years, STAR WARS fan have squared off against STAR TREK fans over which space fantasy is the better choice. As a result, both franchises have been embroiled in a continuing battle for merchandise sales, publicity and box-office receipts. The science-fiction genre has never seen anything like it and, as these fictional universes continue to expand, the competition seems to be never ending. Star Wars vs. Star Trek: The Rivalry Continues compares the space opera worlds of George Lucas and Gene Roddenberry for a one-of-a-kind intergalactic documentary."
Star Wars: The Legacy Revealed,movie,2007-05-28,Film-makers and academics discuss the use of mythology in Star Wars and the impact of the films on society
LEGO Star Wars: Revenge of The Brick,movie,2005-08-05,"Anakin Skywalker and Obi-Wan Kenobi attempt to stop the Separatists from invading Kashyyyk. Meanwhile, Master Yoda must defeat an evil army of droids."
From Star Wars to Jedi: The Making of a Saga,movie,1983-12-03,"From Star Wars to Jedi: The Making of a Saga is a 1983 television documentary special that originally aired on PBS. It is a behind-the-scenes look at the making of the original Star Wars trilogy, with particular emphasis on the final film, Return of the Jedi. Narrated by actor Mark Hamill, the documentary was written by Richard Schickel who had written the previous television documentaries The Making of Star Wars (1977) and SP FX: The Empire Strikes Back (1980)."
"Untitled Star Wars ""New Jedi Order"" Film",movie,,"15 years after the events of Star Wars: The Rise of Skywalker, Rey Skywalker rebuilds the Jedi Order."
Star Wars: Jedi Temple Challenge,tv,2020-06-10,"A game show set in a galaxy far, far away, which tests young contestants’ abilities in the core Jedi principles of strength, knowledge, and bravery as they face thrilling and fun obstacles in an attempt to achieve the rank of Jedi Knight"
Star Wars Spoofs,movie,2011-01-01,"The farce is strong with this one! Enjoy a hilarious collection of Star Wars movie scene spoofs and parodies that have been created over the years, including outrageous clips from Family Guy, The Simpsons, How I Met Your Mother, and more - and don't miss ""Weird Al"" Yankovic's one-of-a-kind music video tribute to The Phantom Menace!"
Star Wars: Jedi Temple Challenge,tv,2020-06-10,"A game show set in a galaxy far, far away, which tests young contestants’ abilities in the core Jedi principles of strength, knowledge, and bravery as they face thrilling and fun obstacles in an attempt to achieve the rank of Jedi Knight"
Star Wars: Dawn of the Jedi,movie,,"Set during the ""Dawn of the Jedi"" era, 25,000 years in the galaxy's past and described as a ""Biblical epic"" about ""the dawning of the Force""."
I've Never Seen Star Wars,tv,2009-03-12,"I've Never Seen Star Wars is a comedy chat show broadcast on BBC Four and BBC Two, first broadcast on 12 March 2009. Created and produced by Bill Dare and hosted by Marcus Brigstocke for the 2009 episodes & Jo Brand for the 2011 special episode, each episode features a celebrity guest trying out new experiences. Based on the original radio version broadcast on BBC Radio 4, the title comes from the fact that Dare has never seen the Star Wars films. An eight part series was recorded in March 2009, with guests including John Humphrys, Esther Rantzen, Rory McGrath and Hugh Dennis.

A new host, Jo Brand, presented a December 2011 episode."
Star Wars: Galaxy's Edge - Adventure Awaits,movie,2019-09-29,An exclusive behind-the-scenes look at the new lands at Walt Disney World Resort in Florida and Disneyland Resort in Southern California.
Untitled Taika Waititi Star Wars Film,movie,,
Plastic Galaxy: The Story of Star Wars Toys,movie,2014-01-14,"Plastic Galaxy explores the ground breaking and breathtaking world of 'Star Wars' toys. Through interviews with former Kenner employees, experts, authors, and collectors, the documentary looks at the toys' history, influence, and the passions they elicit today."
Star Wars Tech,movie,2007-05-28,"Exploring the technical aspects of Star Wars vehicles, weapons and gadgetry, Star Wars Tech consults leading scientists in the fields of physics, prosthetics, lasers, engineering and astronomy to examine the plausibility of Star Wars technology based on science as we know it today."
LEGO Star Wars: Bombad Bounty,movie,2010-11-27,"Darth Vader hires Boba Fett to track down Jar Jar Binks, who has caused a lot of trouble for Vader. This leads Binks and Fett on a game of cat-and-mouse like never seen before."
When Star Wars Ruled the World,movie,2004-09-18,A VH1 television special wherein the cast discuss the making of the films and what made the franchise a phenomenon.
Star Wars: Ewoks - The Haunted Village,movie,1997-02-11,"Morag the Tulga Witch seeks revenge on her old enemy Logray, shaman of the Ewoks, who holds the magic Sunstar while she possesses it's darker half, the Shadowstone."
Star Wars: Squadrons - Hunted,movie,2020-09-14,"Stranded by his Star Destroyer, Varko Grey becomes the last TIE pilot on the battlefield, hunted by a renegade X-Wing of the New Republic."
WCCW Christmas Star Wars '85,movie,1985-12-25,Witness a brutal battle when The Von Erichs clash with The Freebirds
How Star Wars Changed the World,movie,2015-12-12,"Documentary taking a warm and celebratory look at the countless ways the Star Wars universe has inspired fans all over the globe. Whether it be adhering to the scriptures of Jedi, perfecting one's light-saber skills, designing a Wookie costume, or making a self-financed fan film, this show revels in the bright side of the Force."
This Week! in Star Wars,tv,2020-01-30,"The only weekly Star Wars news show direct from Lucasfilm headquarters, featuring the latest headlines, big announcements, exclusive reveals, and trivia."
Star Wars : La Révolution Visuelle,movie,2020-05-04,
Star Wars: A Musical Journey,movie,2005-05-03,"Star Wars: In Concert, originally called Star Wars: A Musical Journey, was a worldwide series of concerts featuring specially edited footage from all six of the Star Wars films (on the world's largest LED screen) set to live performances of John Williams' Star Wars score. The first performance took place in the O2 Arena in London, England. It was attended by 20,000 fans. The North American concerts started in Anaheim, California on October 1, 2009. The concerts were narrated by Anthony Daniels and conducted by Dirk Brosse. The concert took the audience through the Star Wars story line starting with Star Wars: Episode I The Phantom Menace and ending with Star Wars: Episode VI Return of the Jedi. The concert toured throughout the world extensively in 2009 and 2010, with an announced two-date engagement (June 3 and 4, 2011) at the Hollywood Bowl in 2011."
Robot Chicken: Star Wars Trilogy,movie,2010-12-19,All three of the Robot Chicken Star Wars specials (Episodes 1-3).
Untitled Shawn Levy Star Wars Film,movie,,An upcoming film in the Star Wars franchise developed and directed by Shawn Levy.
Hollywood Rivals: Star Wars vs. Star Trek,movie,2001-10-19,"Star Wars vs. Star Trek. George Lucas, Liam Neeson, Samuel L. Jackson, Natalie Portman, Mark Hamill, Carrie Fisher and Harrison Ford share insights and the special effects creator compares the worlds of Star Trek and Star Wars."
Star Wars: The Magic & the Mystery,movie,1997-02-06,"Host Howie Long takes viewers on a tour of the ""Star Wars"" universe, as Fox TV celebrates the re-release of the original three legendary films in this one hour special."
Untitled New Republic Era Star Wars Film,movie,,"Focuses on the escalating war between the Imperial Remnant and the fledgling New Republic, and serves as a culmination of interconnected stories from The Mandalorian, The Book of Boba Fett, and Ahsoka."
The Characters of Star Wars,movie,2004-09-21,"The Characters of Star Wars is a Video Documentary included in the 2004 DVD release of the Star Wars Original Trilogy. It explained the Mythos of many of the ""Star Wars"" Characters."
LEGO Star Wars: The Quest for R2-D2,movie,2009-08-28,"When R2-D2 gets lost in space, Anakin Skywalker and his apprentice Ahsoka Tano set off on a mission to find their droid pal."
Star Wars Begins: A Filmumentary,movie,2011-02-02,"Filmmaker Jamie Benning has finally finished his trilogy of documentary-commentaries. This final chapter concentrates on the first Star Wars film. Like his two previous documentaries, Building Empire (2006) and Returning to Jedi (2007), Star Wars Begins is an unofficial look at the creation of the classic movie and features deleted scenes, alternate takes and different angles, bloopers, original on set audio recordings and a huge amount of commentary from cast and crew, culled from every corner of the galaxy."
Rail of the Star - A True Story of Children and War,movie,1993-10-07,"A young Japanese actress remembers her war childhood in Korea. Her father goes to fight, her baby sister Miko dies of typhoid, her beloved Korean maid Ohana is fired due to a mistake which could cost Chiko her life... By and by Chiko realizes that the country is being ruled by the Japanese and the Koreans are persecuted. When the war ends, the Koreans chase the Japanese rule and the roles change. Now Chiko's family is unwanted. But then the Russians come and this is the end. They have to burn all the pictures to avoid all suspicions... even Miko's picture. But when the Russians come to their house, they decide to flee over the 38th Parallel towards freedom. A group of men, women, children struggles along the mountains, led by the light of the Northern Star. Along the way they meet a Korean man, who is willing to help them to escape the Russian soldiers although his family was killed by the Japanese."
WCCW Christmas Star Wars '84,movie,1984-12-25,"Kerry Von Erich seeks revenge and The NWA World's Heavyweight Championship from ""The Nature Boy"" Ric Flair."
Star Wars: Music by John Williams,movie,1980-05-18,BBC documentary. Witness John Williams composing the legendary score for The Empire Strikes Back and conducting the London Symphony Orchestra.
Science of Star Wars,tv,2005-05-16,"This documentary series takes a look at the science of ""Star Wars"" and shows how many of the technologies depicted in the films are becoming reality."
Star Wars: Roll Out,tv,2019-08-09,"Star Wars Roll Out is a series of whimsical animated shorts featuring new adventures in a charming and unique animation style. Join Rey, Chewbacca, BB-8, the porgs, and other favorite characters from a galaxy far, far away, in a bright and colorful art style perfect for children and adults!"
Star Fleet: The Thalian Space Wars,movie,1983-01-01,"An English language, feature-length version of the Japanese marionette series 'Ekkusu bonbâ'.  As the year 3000 approaches, a war-torn Solar System is invaded by the Imperial Alliance. The experimental X Bomber spacecraft with its young crew must defend the galaxy."
WCCW Thanksgiving Star Wars 1985,movie,1985-11-28,"WCCW hosts their Thanksgiving Day event from the Reunion Arena in Dallas, Texas."
WCCW Labor Day Star Wars '86,movie,1986-09-01,It's Roode vs. Adams with all the gold on the line in The Lone Star State
WCCW Christmas Star Wars '87,movie,1987-12-25,The High Holidays bring high tension deep in the heart of Texas. Can The Von Erich's come out unscathed?
Star Wars: Ewoks - Tales from the Endor Woods,movie,1997-02-11,"Wicket remembers four memorable adventures from his youth: how he fixed up his great grandfather's battle wagon, the occasion when Latara ran away from the Ewok village to join the traveling Jindas, the time his father Deej fell terrible ill and the story of Kneesa's long lost sister, Asha."
WCCW Thanksgiving Star Wars '84,movie,1984-11-22,Its turkey time in Texas with all the stars of World Class Championship Wrestling.
WCCW Star Wars (August 1982),movie,1982-08-15,It's Kerry Von Erich vs. Ric Flair with the NWA World's Heavyweight Championship on the line in a grueling best 2 of 3 falls contest!
WCCW Star Wars (June 1983),movie,1983-06-17,Kevin Von Erich tangles with NWA World's Heavyweight Champion Harley Race with the 'Ten Pounds of Gold' up for grabs!
Star Wars Dreams,movie,2003-05-13,"A look at the history of America's multi-billion dollar missile defence system, from  President Eisenhower to Reagan and Bush."
PWUSA Star Wars,movie,1985-02-24,"February 24, 1985 at The Meadowlands in East Rutherford, New Jersey"
